Identifiant;Type de Vin;Pays;Région Viticole;Sous Région;Appellation;Type d’Appellation;Classification;Domaine ou Château;Nom de la Cuvée;Année du Millésime;Degré d'alcool;Quantité en Stock;Nom de la Cave;Emplacement;Position (X-Y);Couleur;Jeunesse Min;Jeunesse Max;Maturité Min;Maturité Max;Apogée Min;Apogée Max;Déclin Min;Déclin Max;Phases de vieillissement;Gamme du vin;Commentaires;Date Dernier Achat;Prix Unitaire Dernier Achat;Prix Total Achat;Prix Marché Unitaire Actuelle;Valeur Totale;Tendance prix;Type de Conditionnement;Type Achat;Lieu Achat;Date Dernière Sortie;Note Dernière Sortie;Mes listes;Cépages;Listes;Champ personnalisé
2236442;Vins;France;Bordeaux;Le Libournais;Saint-Émilion Grand Cru;AOC;Grand Cru;Château Musset Chevalier;;2016;14;1;;;;Rouge;2016;2019;2020;2023;2024;2033;2034;2040;Apogée;Intermédiaire;;;0;0;25;25;;Bouteille (75cl);;;;;;Cabernet Franc 23%, Merlot 76%;;
2236465;Vins;France;Bordeaux;Le Libournais;Saint-Émilion Grand Cru;AOC;Grand Cru;Château Chevalier Lescours;;2018;13,5;1;Ma cave;2;C1;Rouge;0;0;0;0;2028;2037;0;0;Maturité;Premium;;;0;0;44,1;44,1;Baisse;Bouteille (75cl);;;12/04/2026;;;Merlot 70%, Cabernet Sauvignon 30%;;
2236834;Vins;France;Bordeaux;Graves;Graves;AOC;;Château Beauregard Ducasse;;2020;13,5;1;Ma cave;2;A4;Rouge;0;0;0;0;2028;2034;0;0;Maturité;Intermédiaire;;;0;0;12,96;12,96;Hausse;Bouteille (75cl);;;;;;Cabernet Franc 20%, Cabernet Sauvignon 20%, Merlot 60%;;
2237120;Vins;France;Bordeaux;Le Blayais et le Bourgeais;Blaye-côtes-de-bordeaux;AOC;;Château Graulet;;2014;13;1;Ma cave;3;A1;Rouge;0;0;0;0;2021;2023;0;0;Déclin;Accessibles;;;0;0;8;8;;Bouteille (75cl);;;;;;Cabernet Franc 50%, Cabernet Sauvignon 30%, Merlot 20%;;
2236484;Vins;France;Bordeaux;Le Libournais;Lalande-de-pomerol;AOC;;Château Vieux Duché;;2018;13;1;Ma cave;1;A1;Rouge;0;0;0;0;2025;2029;0;0;Apogée;Intermédiaire;;;0;0;15,9;15,9;;Bouteille (75cl);;;;;;Merlot 80%, Cabernet Franc 15%, Cabernet Sauvignon 5%;;
2237187;Vins;France;Bordeaux;Appellation régionale;Bordeaux;AOC;;Château Haut Pougnan;;2014;13;1;Ma cave;3;A6;Rouge;0;0;0;0;2020;2022;0;0;Déclin;Accessibles;;;0;0;8;8;;Bouteille (75cl);;;;;;Cabernet Franc 10%, Cabernet Sauvignon 30%, Merlot 60%;;
2236336;Vins;France;Bordeaux;Graves;Graves;AOC;;Château Tourteau Chollet;;2015;13,5;1;Ma cave;1;A2;Rouge;0;0;0;0;2022;2026;0;0;Apogée;Intermédiaire;;;0;0;35,1;35,1;Stable;Bouteille (75cl);;;;;;Cabernet Sauvignon 40%, Merlot 40%, Petit Verdot 20%, Malbec 0%;;
2236993;Vins;France;Bordeaux;Le Libournais;Lalande-de-pomerol;AOC;;Château L"Etoile de Viaud;;2018;13,5;5;Ma cave;3;B4,B5,B6,C1,C2;Rouge;0;0;0;0;2025;2032;0;0;Apogée;Intermédiaire;;;0;0;17,5;87,5;;Bouteille (75cl);;;;;;Cabernet Franc 10%, Merlot 90%;;
2237149;Vins;France;Bordeaux;Médoc;Médoc ;AOC;;Château La Tour de By;;2015;13;1;Ma cave;3;A3;Rouge;0;0;0;0;2025;2029;0;0;Apogée;Intermédiaire;;;0;0;22,39;22,39;Hausse;Bouteille (75cl);;;;;;Cabernet Sauvignon 58%, Merlot 34%, Petit Verdot 8%;;
2236676;Vins;France;Bordeaux;Appellation régionale;Bordeaux;AOC;;Château Haut-Peyrat;Prélude;2016;13,5;1;Ma cave;1;A4;Rouge;0;0;0;0;2027;2032;0;0;Maturité;Intermédiaire;;;0;0;13;13;Hausse;Bouteille (75cl);;;;;;Cabernet Franc 5%, Cabernet Sauvignon 30%, Merlot 65%;;
2236684;Vins;France;Bordeaux;Le Blayais et le Bourgeais;Blaye-côtes-de-bordeaux;AOC;;Terre Blanque;;2018;14;1;Ma cave;1;A5;Rouge;0;0;0;0;2024;2027;0;0;Apogée;Intermédiaire;;;0;0;11,05;11,05;Baisse;Bouteille (75cl);;;;;;Merlot 80%, Cabernet Franc 20%;;
2236570;Vins;France;Bordeaux;Le Libournais;Pomerol;AOC;;La Pointe;;2015;14;1;Ma cave;1;A3;Rouge;0;0;0;0;2027;2034;0;0;Maturité;Premium;;;0;0;44,1;44,1;Baisse;Bouteille (75cl);;;;;;Cabernet Franc 17%, Merlot 83%;;
2237140;Vins;France;Bordeaux;Appellation régionale;Bordeaux supérieur;AOC;;Château Haut-Peyrat;Prélude;2016;14;1;Ma cave;3;A2;Rouge;0;0;0;0;2022;2025;0;0;Déclin;Intermédiaire;;;0;0;21,6;21,6;Baisse;Bouteille (75cl);;;;;;Merlot 70%, Cabernet Sauvignon 25%, Cabernet Franc 5%;;
